panel,scheme,entities,value,unit,formula_id,evidence_class,status
bits,Ding et al. [35],28,230080,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,LCLA-AKA,28,3,rounds,F5-LCLA-rounds,lcla_derived,paper_reported_reference
fields,LCLA-AKA,28,7,fields,F5-LCLA-fields,lcla_derived,paper_reported_reference_reinterpreted_fields
bits,LCLA-AKA,28,3147008,bits,F5-LCLA-bits,lcla_derived,reconstructed
rounds,Feng et al. [23],30,32,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Feng et al. [23],30,94,fields,F5-Feng-fields,paper_reported_reference,paper_reported_reference
bits,Feng et al. [23],30,123136,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Dabra et al. [34],30,32,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Dabra et al. [34],30,95,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Dabra et al. [34],30,192264,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Ding et al. [35],30,32,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Ding et al. [35],30,95,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Ding et al. [35],30,246496,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,LCLA-AKA,30,3,rounds,F5-LCLA-rounds,lcla_derived,paper_reported_reference
fields,LCLA-AKA,30,7,fields,F5-LCLA-fields,lcla_derived,paper_reported_reference_reinterpreted_fields
bits,LCLA-AKA,30,3147008,bits,F5-LCLA-bits,lcla_derived,reconstructed
rounds,Feng et al. [23],32,34,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Feng et al. [23],32,100,fields,F5-Feng-fields,paper_reported_reference,paper_reported_reference
bits,Feng et al. [23],32,131328,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Dabra et al. [34],32,34,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Dabra et al. [34],32,101,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Dabra et al. [34],32,205064,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Ding et al. [35],32,34,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Ding et al. [35],32,101,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Ding et al. [35],32,262912,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,LCLA-AKA,32,3,rounds,F5-LCLA-rounds,lcla_derived,paper_reported_reference
fields,LCLA-AKA,32,7,fields,F5-LCLA-fields,lcla_derived,paper_reported_reference_reinterpreted_fields
bits,LCLA-AKA,32,3147008,bits,F5-LCLA-bits,lcla_derived,reconstructed
rounds,Feng et al. [23],34,36,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Feng et al. [23],34,106,fields,F5-Feng-fields,paper_reported_reference,paper_reported_reference
bits,Feng et al. [23],34,139520,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Dabra et al. [34],34,36,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Dabra et al. [34],34,107,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Dabra et al. [34],34,217864,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Ding et al. [35],34,36,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Ding et al. [35],34,107,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Ding et al. [35],34,279328,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,LCLA-AKA,34,3,rounds,F5-LCLA-rounds,lcla_derived,paper_reported_reference
fields,LCLA-AKA,34,7,fields,F5-LCLA-fields,lcla_derived,paper_reported_reference_reinterpreted_fields
bits,LCLA-AKA,34,3147008,bits,F5-LCLA-bits,lcla_derived,reconstructed
rounds,Feng et al. [23],36,38,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Feng et al. [23],36,112,fields,F5-Feng-fields,paper_reported_reference,paper_reported_reference
bits,Feng et al. [23],36,147712,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Dabra et al. [34],36,38,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Dabra et al. [34],36,113,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Dabra et al. [34],36,230664,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Ding et al. [35],36,38,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Ding et al. [35],36,113,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Ding et al. [35],36,295744,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
